gene;Column1;alleles_with_growth_0-0.062;alleles_with_growth_0.062-0.12;alleles_with_growth_0.12-0.25;alleles_with_growth_0.25-0.5;alleles_with_growth_0.5-2;alleles_with_growth_2-4;alleles_with_growth_4-8;alleles_with_growth_8-16;alleles_with_growth_16-inf;pvalue;FDR;MeanFC_DIU1;gene_name;defline;description;synonyms;predalgo_protein_localization;PFAM;Panther;KOG;KEGG_ec;KEGG_Orthology;Gene_Ontology_terms;best_arabidopsis_TAIR10_hit_name;best_arabidopsis_TAIR10_hit_symbol;best_arabidopsis_TAIR10_hit_defline
Cre05.g242858;CHLRE_05g242858v5;0;0;0;0;3;0;0;0;0;1;1;0;-;-;-;g5292.t1,Cre61.g792450.t1.1;M;-;-;-;-;-;-;-;-;-
Cre05.g242859;CHLRE_05g242859v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g5293.t1,Cre61.g792400.t1.1,Cre61.g792400.t1.2;O;-;-;-;-;-;-;-;-;-
Cre05.g243000;CHLRE_05g243000v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g5286.t1;O;PF00072;PTHR26402:SF38,PTHR26402;-;-;K14491;GO:0000156,GO:0000160,GO:0006355;AT3G16857.2;ARR1,RR1;response regulator 1
Cre05.g243050;CHLRE_05g243050v5;0;0;0;0;2;0;0;0;0;1;1;0;TRX3,TRXf2;Chloroplastic thioredoxin f2;Thioredoxin f2, chloroplast precursor [Lemaire et al (2003) Plant Physiol. Biochem. 41, 513-521]. Involved in the activation by light of carbon metabolism enzymes, including calvin cycle enzymes. Probably regulated by glutathionylation [PMID: 16263928]. T;g5285.t1,Cre05.g243050.t1.1,TRX3;C;PF00085;PTHR10438:SF15,PTHR10438;KOG0907;-;-;GO:0045454,GO:0006662,GO:0009055,GO:0015035;AT3G02730.1;ATF1,TRXF1;thioredoxin F-type 1
Cre05.g243150;CHLRE_05g243150v5;0;0;0;0;6;1;0;0;0;0.468869732722;1;1;-;-;-;g5283.t1;SP;PF00484,PF04357;-;-;4.2.1.1;K01673;GO:0004089,GO:0008270,GO:0015976;AT2G25660.1;emb2410;embryo defective 2410
Cre05.g243351;CHLRE_05g243351v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g5282.t1,Cre05.g243351.t1.1;O;PF00075,PF00078;PTHR10178,PTHR10178:SF42;-;-;-;GO:0003676,GO:0004523,GO:0003723,GO:0003964,GO:0006278;-;-;-
Cre05.g243352;CHLRE_05g243352v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g5281.t1,Cre05.g243352.t1.1;M;-;-;-;-;-;-;-;-;-
Cre05.g243353;CHLRE_05g243353v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g5280.t1,Cre05.g243353.t1.1;O;-;PTHR22870;-;-;-;-;AT5G63860.1;UVR8;Regulator of chromosome condensation (RCC1) family protein
Cre05.g243354;CHLRE_05g243354v5;0;0;0;0;3;1;0;0;0;0.30342871864;1;1;-;-;-;g5279.t1,Cre05.g243354.t1.1;C;-;-;-;-;-;-;-;-;-
Cre05.g243451;CHLRE_05g243451v5;0;0;0;0;3;0;0;0;0;1;1;0;-;-;-;g5274.t1;C;PF02545;PTHR11746;KOG1509;-;-;GO:0005737;AT5G66550.1;-;Maf-like protein
Cre05.g243452;CHLRE_05g243452v5;0;0;0;0;11;1;0;0;0;0.66197532566;1;1;-;-;-;g5275.t1;M;PF00023;-;-;-;-;GO:0005515;-;-;-
Cre05.g243453;CHLRE_05g243453v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g5276.t1;C;-;-;-;-;-;-;-;-;-
Cre05.g243454;CHLRE_05g243454v5;0;0;0;0;3;0;0;0;0;1;1;0;-;-;-;g5277.t1;O;PF00520;PTHR10217;-;-;-;GO:0005216,GO:0006811,GO:0016020,GO:0055085;AT2G26650.1;AKT1,ATAKT1,KT1;K+ transporter 1
Cre05.g243600;CHLRE_05g243600v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g5267.t1,Cre05.g243600.t1.1;O;PF09118;-;-;-;-;-;AT3G57620.1;-;glyoxal oxidase-related protein
Cre05.g243800;CHLRE_05g243800v5;0;0;0;1;0;0;0;0;0;0.0231820208218;NA;-1;PSB27,CPLD45;Predicted protein;Conserved expressed protein with possible function in PSII and possible lumen location;g5260.t1,Cre05.g243800.t1.1,CPLD45;C;-;-;-;-;K08902;-;AT1G03600.1;PSB27;photosystem II family protein
Cre05.g243801;CHLRE_05g243801v5;0;0;0;0;4;1;0;0;0;0.363630070175;1;1;-;-;-;g5261.t1, g5261.t3, g5261.t2;C;-;-;-;-;-;-;AT5G09520.1;-;hydroxyproline-rich glycoprotein family protein
Cre05.g243802;CHLRE_05g243802v5;0;0;0;0;3;0;0;0;0;1;1;0;-;-;-;g5262.t1;SP;PF07173;-;-;-;-;-;AT4G37900.1;-;Protein of unknown function (duplicated DUF1399)
Cre05.g243803;CHLRE_05g243803v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g5264.t1;O;-;-;-;-;-;-;-;-;-
Cre05.g243900;CHLRE_05g243900v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g5258.t1;SP;-;-;-;-;-;-;-;-;-
Cre05.g244000;CHLRE_05g244000v5;0;0;0;0;2;1;0;0;0;0.237530356347;1;1;-;-;-;g5256.t1;SP;PF07173;-;-;-;-;-;-;-;-
Cre05.g244050;CHLRE_05g244050v5;0;0;0;0;4;0;0;0;0;1;1;0;-;-;-;g5254.t1;O;-;-;-;-;-;-;-;-;-
Cre05.g244100;CHLRE_05g244100v5;0;0;0;0;7;0;0;0;0;1;1;0;-;-;-;g5253.t1;O;-;-;-;-;-;-;-;-;-
Cre05.g244150;CHLRE_05g244150v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g5252.t1;O;-;-;-;-;-;-;-;-;-
Cre05.g244200;CHLRE_05g244200v5;0;0;0;0;4;0;0;0;0;1;1;0;TMA1;-;-;g5251.t1,TMA1;C;PF08757;-;-;-;-;-;-;-;-
Cre05.g244250;CHLRE_05g244250v5;0;0;0;0;11;0;0;0;0;1;1;0;DHC6;Flagellar inner arm dynein heavy chain, dynein a (monomeric);Flagellar inner arm dynein heavy chain, dynein a (monomeric).  Identified in Chlamydomonas flagella in mass spec proteomic study by Yagi et al. [PMID: 19351714];g5249.t1,Cre05.g244250.t1.1;C;PF08393,PF07728,PF03028;PTHR10676,PTHR10676:SF138;KOG3595;-;-;GO:0005524,GO:0016887,GO:0003777,GO:0007018,GO:0030286;-;-;-
Cre05.g244300;CHLRE_05g244300v5;0;0;0;0;3;0;0;0;0;1;1;0;-;-;-;g5248.t1;O;-;-;-;-;-;-;-;-;-
Cre05.g244350;CHLRE_05g244350v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g5247.t1,Cre05.g244350.t1.1;O;-;-;-;-;-;-;-;-;-
Cre05.g244400;CHLRE_05g244400v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g5246.t1;O;PF03407;-;-;-;-;-;-;-;-
Cre05.g244450;CHLRE_05g244450v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g5245.t1;M;-;-;-;-;-;-;-;-;-
Cre05.g244550;CHLRE_05g244550v5;0;0;0;0;2;1;0;0;0;0.237530356347;1;1;-;-;-;g5243.t1;O;PF00069;PTHR11795:SF312,PTHR11795;-;-;-;GO:0004672,GO:0005524,GO:0006468;AT2G40580.1;-;Protein kinase superfamily protein
Cre05.g244700;CHLRE_05g244700v5;0;0;0;0;2;0;0;0;0;1;1;0;PHX10,P4H-1;-;-;g5240.t1,P4H-1,PHX10;O;PF03171;PTHR10869;-;-;-;GO:0016491;AT3G28480.1;-;Oxoglutarate/iron-dependent oxygenase
Cre05.g244701;CHLRE_05g244701v5;0;0;0;0;4;0;0;0;0;1;1;0;-;-;-;g5241.t1;M;-;-;-;-;-;-;-;-;-
Cre05.g244750;CHLRE_05g244750v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g5239.t1;SP;PF05282;PTHR12689;KOG3937;-;K13205;-;AT1G66510.1;-;AAR2 protein family
Cre05.g244800;CHLRE_05g244800v5;0;0;0;0;9;0;0;0;0;1;1;0;NUOAF3;-;-;g5238.t1,Cre05.g244800.t1.1,NUOAF3;C;PF05368,PF08547;PTHR24311:SF18,PTHR24311;KOG1203;-;-;-;AT4G18810.1;-;NAD(P)-binding Rossmann-fold superfamily protein
Cre05.g244850;CHLRE_05g244850v5;0;0;0;0;1;0;0;0;0;1;NA;0;MOG1,NUOB12;Ran-interacting protein involved in nuclear trafficking;Ran-interacting protein involved in nuclear trafficking.  Homolog of Mog1, which interacts with RanGTP;g5237.t1,Cre05.g244850.t1.1,MOG1,NUOB12;O;PF04603;PTHR15837;KOG3329;-;-;-;AT1G69680.1;-;Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein
Cre05.g244900;CHLRE_05g244900v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g5235.t1;M;PF01594;PTHR21716;-;-;-;-;-;-;-
Cre05.g245100;CHLRE_05g245100v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g5231.t1;M;-;PTHR16128;-;-;-;-;-;-;-
Cre05.g245101;CHLRE_05g245101v5;0;0;0;0;4;0;0;0;0;1;1;0;-;-;-;g5232.t1;M;-;-;-;-;-;-;-;-;-
Cre05.g245150;CHLRE_05g245150v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g5230.t1;O;-;PTHR16128;-;-;-;-;AT1G56000.1;-;FAD/NAD(P)-binding oxidoreductase family protein
Cre05.g245350;CHLRE_05g245350v5;0;0;0;0;4;0;0;0;0;1;1;0;-;-;-;g5226.t1;SP;PF01549;PTHR15414;-;-;-;-;AT3G28490.1;-;Oxoglutarate/iron-dependent oxygenase
Cre05.g245351;CHLRE_05g245351v5;0;0;0;0;9;0;0;0;0;1;1;0;-;-;-;g5227.t1,Cre05.g245259.t1.2;O;-;PTHR11177:SF44,PTHR11177;-;-;-;-;-;-;-
Cre05.g245352;CHLRE_05g245352v5;0;0;0;0;13;1;0;0;0;0.717866353362;1;1;-;-;-;g5228.t2, g5228.t1;SP;PF00704,PF00059,PF00530;PTHR11177:SF44,PTHR11177;KOG2806;-;-;GO:0004553,GO:0005975,GO:0005488,GO:0005044,GO:0016020;AT4G19800.1;-;Glycosyl hydrolase family protein with chitinase insertion domain
Cre05.g245500;CHLRE_05g245500v5;0;0;0;0;7;0;0;0;0;1;1;0;FAP175,ANK24;Flagellar Associated Protein with ankyrin repeats;"Protein of unknown function with ankyrin repeats, flagella associated; found in the flagellar proteome as FAP175 [PMID: 15998802]";g5223.t2,ANK24, g5223.t1,ANK24;O;PF00023,PF06985;PTHR24123,PTHR24123:SF297;KOG4412;-;-;GO:0005515;AT5G14230.1;-;-
Cre05.g245550;CHLRE_05g245550v5;0;0;0;0;3;0;0;0;0;1;1;0;PIK1;Phosphatidylinositol 4-kinase;Phosphatidylinositol 4-kinase (PI4K);g5222.t1,PIK1;M;PF00454,PF00613;PTHR10048,PTHR10048:SF15;-;2.7.1.67;K00888;GO:0004428,GO:0046854,GO:0048015,GO:0016773;AT1G49340.1;ATPI4K ALPHA;Phosphatidylinositol 3- and 4-kinase family protein
Cre05.g245700;CHLRE_05g245700v5;0;0;1;0;5;1;0;0;0;0.0118169955327;1;-1;ANK25;Predicted protein with ankyrin repeats;Protein of unknown function with ankyrin repeats;g5220.t1,ANK25;M;PF00023,PF06985;PTHR24123,PTHR24123:SF297;KOG4412;-;K10380;GO:0005515;AT5G14230.1;-;-
Cre05.g245701;CHLRE_05g245701v5;0;0;0;0;6;1;0;0;0;0.468869732722;1;1;FAP104;-;-;g5221.t1,Cre05.g245600.t2.1, g5221.t3,Cre05.g245600.t3.1, g5221.t2,Cre05.g245600.t1.2;O;-;-;KOG3647;-;-;-;AT2G25320.1;-;TRAF-like family protein
Cre05.g245800;CHLRE_05g245800v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g5219.t1,Cre05.g245800.t1.1;O;-;-;-;-;-;-;-;-;-
Cre05.g245900;CHLRE_05g245900v5;0;0;0;1;0;0;0;0;0;0.0231820208218;NA;-1;BCA2;Branched-chain amino acid aminotransferase;"Branched-chain amino acid aminotransferase (BCAT1) (EC:2.6.1.42); similar to rice BCAT (GenBank NP_912527); predicted mitochondrial by Target-P; localization by homology is ambiguous";g5217.t1,Cre05.g245900.t1.1,BCA2;C;PF01063;PTHR11825:SF2,PTHR11825;KOG0975;2.6.1.42;K00826;GO:0004084,GO:0009081,GO:0003824,GO:0008152;AT5G65780.1;ATBCAT-5;branched-chain amino acid aminotransferase 5 / branched-chain amino acid transaminase 5 (BCAT5)
Cre05.g245950;CHLRE_05g245950v5;0;0;0;0;1;0;0;0;0;1;NA;0;DRP1;Dynamin-related GTPase;Expressed Protein. Similar to Arabidopsis DRP1 group, a Dynamin-type GTPase.;g5216.t1;O;PF01031,PF00350,PF02212;PTHR11566:SF12,PTHR11566;KOG0446;-;-;GO:0005525,GO:0003924;AT1G14830.1;ADL1C,ADL5,DL1C,DRP1C;DYNAMIN-like 1C
Cre05.g246000;CHLRE_05g246000v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g5215.t1;O;-;-;-;-;-;-;-;-;-
Cre05.g246100;CHLRE_05g246100v5;0;0;0;0;5;0;0;0;0;1;1;0;-;-;-;g5213.t1,Cre05.g246100.t1.1;M;-;-;-;-;-;-;-;-;-
Cre05.g246150;CHLRE_05g246150v5;0;0;0;0;7;0;0;0;0;1;1;0;CYG13;Adenylate/guanylate cyclase;Similar to guanylate cyclase 1 (GCYB2) from Homo sapiens;g5212.t1;O;PF00211;PTHR11920;-;-;-;GO:0009190,GO:0016849,GO:0035556;-;-;-
Cre05.g246200;CHLRE_05g246200v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g5211.t1;O;PF00069;PTHR24361;-;-;-;GO:0004672,GO:0005524,GO:0006468;AT5G58140.1;NPL1,PHOT2;phototropin 2
Cre05.g246250;CHLRE_05g246250v5;0;0;0;0;3;0;0;0;0;1;1;0;-;-;-;g5210.t1;SP;PF01753;-;-;-;-;GO:0008270;-;-;-
Cre05.g246300;CHLRE_05g246300v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g5209.t1,Cre05.g246300.t1.1;O;PF10508;PTHR13554,PTHR13554:SF8;-;-;-;-;AT3G15180.1;-;ARM repeat superfamily protein
Cre05.g246376;CHLRE_05g246376v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g5207.t1;M;-;-;-;-;-;-;-;-;-
Cre05.g246377;CHLRE_05g246377v5;0;0;0;0;2;0;0;0;0;1;1;0;ADA2;-;-;g5208.t1,Cre05.g246350.t1.3,ADA2;M;PF00962;PTHR11409:SF30,PTHR11409;KOG1097;3.5.4.4;K01488;GO:0009168,GO:0019239;-;-;-
Cre05.g246400;CHLRE_05g246400v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g5206.t1,Cre05.g246400.t1.1;O;PF00797;-;-;-;-;GO:0008152,GO:0016407;-;-;-
Cre05.g246550;CHLRE_05g246550v5;0;0;0;0;4;0;0;0;0;1;1;0;LAO3;L-amino-acid oxidase;"Similar to LAO1, L-amino-acid oxidase catalytic subunit; possibly cytosolic";g5202.t1,Cre05.g246550.t1.1,LAO3;C;-;PTHR10742,PTHR10742:SF48;-;-;-;-;-;-;-
Cre05.g246552;CHLRE_05g246552v5;0;0;0;0;5;0;0;0;0;1;1;0;-;-;-;g5204.t1;C;PF03109;PTHR10566,PTHR10566:SF10;-;-;-;-;AT3G24190.1;-;Protein kinase superfamily protein
Cre05.g246553;CHLRE_05g246553v5;0;0;0;0;3;0;0;0;0;1;1;0;-;-;-;g5205.t1,Cre05.g246450.t2.1, g5205.t2,Cre05.g246450.t1.3;O;-;-;-;-;-;-;-;-;-
Cre05.g246650;CHLRE_05g246650v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g5200.t1,Cre05.g246650.t1.1;C;-;-;-;-;-;-;-;-;-
Cre05.g246750;CHLRE_05g246750v5;0;0;0;0;4;0;0;0;0;1;1;0;-;-;-;g5197.t1;C;-;-;-;-;-;-;-;-;-
Cre05.g246752;CHLRE_05g246752v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g5198.t1;O;-;-;-;-;-;-;-;-;-
Cre05.g246753;CHLRE_05g246753v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g5199.t1;SP;-;-;-;-;-;-;-;-;-
Cre05.g246950;CHLRE_05g246950v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g5193.t1;O;-;-;-;-;-;-;-;-;-
Cre05.g247100;CHLRE_05g247100v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g5190.t1;C;PF08757;-;-;-;-;-;-;-;-
Cre05.g247150;CHLRE_05g247150v5;0;0;0;0;4;0;0;0;0;1;1;0;-;-;-;g5189.t1,Cre05.g247150.t1.1;C;-;-;-;-;-;-;-;-;-
Cre05.g247250;CHLRE_05g247250v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g5187.t1;M;-;-;KOG3671;-;-;-;-;-;-
Cre05.g247300;CHLRE_05g247300v5;0;0;0;1;4;2;0;0;0;0.035528071677;1;1;-;-;-;g5186.t1,Cre05.g247300.t1.1;M;PF00515;PTHR23083;-;-;-;GO:0005515;AT3G04240.1;SEC;Tetratricopeptide repeat (TPR)-like superfamily protein
Cre05.g247400;CHLRE_05g247400v5;0;0;0;0;1;0;0;0;0;1;NA;0;RDP4;Putative rhodanese domain phosphatase;Putative rhodanese domain phosphatase.  Rhodanese is a sulphurtransferase involved in cyanide detoxification with a common evolutionary ancestry to a large family of proteins.  This rhodanese-like domain may not be catalytic.  Cited by Kerk et al. 2008 [P;g5184.t1,Cre05.g247400.t1.1;SP;PF00581;-;-;-;-;-;-;-;-
Cre05.g247450;CHLRE_05g247450v5;0;0;0;0;7;1;0;0;0;0.514769191578;1;1;RDP5,CGL56;Putative rhodanese-like protein;Putative rhodanese-like protein.  Rhodanese is a sulphurtransferase involved in cyanide detoxification with a common evolutionary ancestry to a large family of proteins.  This rhodanese like domain may not be catalytic.  This is much larger than other RDP;g5183.t1,Cre05.g247450.t1.1,CGL56;C;-;-;-;-;-;-;AT3G59780.1;-;Rhodanese/Cell cycle control phosphatase superfamily protein
Cre05.g247550;CHLRE_05g247550v5;0;0;0;0;1;0;0;0;0;1;NA;0;GST7;-;-;g5181.t1,Cre05.g247550.t1.1,GST7;M;PF02798;PTHR11260,PTHR11260:SF8;KOG0867;-;-;GO:0005515;AT5G41210.1;ATGSTT1,GST10,GSTT1;glutathione S-transferase THETA 1
Cre05.g247650;CHLRE_05g247650v5;0;0;0;0;9;0;0;0;0;1;1;0;-;-;-;g5179.t1;C;-;-;KOG3454;-;-;-;-;-;-
Cre05.g247850;CHLRE_05g247850v5;0;0;0;0;3;0;0;0;0;1;1;0;-;-;-;g5176.t1;O;PF00293;-;-;-;-;GO:0016787;-;-;-
Cre05.g247851;CHLRE_05g247851v5;0;0;0;0;4;0;0;0;0;1;1;0;CEP2;-;-;g5177.t1,Cre05.g247800.t1.2,CEP2;SP;PF00112,PF00396,PF08246;PTHR12411:SF44,PTHR12411;KOG1542;-;-;GO:0006508,GO:0008234;AT5G43060.1;-;Granulin repeat cysteine protease family protein
Cre05.g247900;CHLRE_05g247900v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g5174.t1;C;PF00646;-;-;-;-;GO:0005515;-;-;-
Cre05.g248000;CHLRE_05g248000v5;0;0;0;0;0;1;0;0;0;0.086434321978;NA;1;CGL29;Predicted protein;"Conserved protein of unknown function; significant similarity to protein of unknown function in Arabidopsis (NM_115434.2) and rice";g5172.t1,Cre05.g248000.t1.1;M;-;-;-;-;-;-;AT3G55760.1;-;-
Cre05.g248050;CHLRE_05g248050v5;0;0;0;1;2;1;0;0;0;0.0256317452536;1;0;-;-;-;g5171.t1;O;-;-;-;-;-;-;-;-;-
Cre05.g248100;CHLRE_05g248100v5;0;0;0;1;7;0;0;0;0;0.246002831657;1;-1;ANK1;Predicted protein with ankyrin repeats;Protein of unknown function with ankyrin repeats;g5170.t1,Cre05.g248100.t1.1,ANK1;O;PF00023;PTHR24198:SF302,PTHR24198;KOG4412;-;-;GO:0005515;AT5G02620.1;ANK1,ATANK1;ankyrin-like1
Cre05.g248200;CHLRE_05g248200v5;0;0;0;0;2;1;0;0;0;0.237530356347;1;1;-;-;-;g5168.t1;C;PF01764;-;-;-;-;GO:0004806,GO:0006629;AT3G61680.1;-;alpha/beta-Hydrolases superfamily protein
Cre05.g248250;CHLRE_05g248250v5;0;0;0;0;3;0;0;0;0;1;1;0;-;-;-;g5167.t1;C;PF01959;-;-;-;-;-;AT3G28760.1;-;-
Cre05.g248300;CHLRE_05g248300v5;0;0;0;0;4;0;0;0;0;1;1;0;-;-;-;g5166.t1;O;PF01566;PTHR11706;KOG1291;-;-;GO:0005215,GO:0006810,GO:0016020;AT5G67330.1;ATNRAMP4,NRAMP4;natural resistance associated macrophage protein 4
Cre05.g248400;CHLRE_05g248400v5;0;0;0;0;0;1;0;0;0;0.086434321978;NA;1;CAH4,mtCA1,MCA;Mitochondrial carbonic anhydrase, beta type;"Mitochondrial carbonic anhydrase, beta type.  Probably regulated by CCM1 [PMID: 15235119]; Acclimation to changing CO2 concentrations and light intensities was studied by Yamano et al. 2008 [PMID: 18322145], identified in their table as MCA. The inorganic";g5164.t1,Cre05.g248400.t1.1,CAH4,MCA,mtCA1;M;PF00484;PTHR11002,PTHR11002:SF1;KOG1578;4.2.1.1;K01673;GO:0004089,GO:0008270,GO:0015976;AT1G58180.2;ATBCA6,BCA6;beta carbonic anhydrase 6
Cre05.g248401;CHLRE_05g248401v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g5165.t1, g5165.t2;SP;-;-;-;-;-;-;-;-;-
Cre05.g248450;CHLRE_05g248450v5;0;0;0;0;1;0;0;0;0;1;NA;0;CAH5;Mitochondrial carbonic anhydrase;Mitochondrial carbonic anhydrase, also called CA2. Matches exons 5 and 6 of CRU41190 Chlamydomonas reinhardtii carbonic anhydrase precursor (beta-CA2). The inorganic carbon-concentrating mechanism has been reviewed by Spalding (2008) [PMID: 17597098];g5163.t1,Cre05.g248450.t1.1,CAH5;M;PF00484;PTHR11002,PTHR11002:SF1;KOG1578;4.2.1.1;K01673;GO:0004089,GO:0008270,GO:0015976;AT1G58180.2;ATBCA6,BCA6;beta carbonic anhydrase 6
Cre05.g248500;CHLRE_05g248500v5;0;0;0;0;2;0;0;0;0;1;1;0;-;Mitochondrial thioredoxin o;"Thioredoxin o, mitochondrial thioredoxin (by homology), putative N-terminal transit peptide for targeting to mitochondria (Lemaire et al (2003) Plant Physiol. Biochem. 41, 513-521; also PMID: 11717467).";g5162.t1,Cre05.g248500.t1.1;M;PF00085;PTHR10438:SF57,PTHR10438;KOG0907;-;-;GO:0045454,GO:0006662,GO:0009055,GO:0015035;AT5G39950.1;ATH2,ATTRX2,ATTRXH2,TRX2,TRXH2;thioredoxin 2
Cre05.g248550;CHLRE_05g248550v5;0;0;0;0;0;1;0;0;0;0.086434321978;NA;1;-;-;-;g5161.t1;O;PF01814,PF05495;PTHR21319;KOG1940;-;-;GO:0008270;AT3G18290.1;BTS,EMB2454;zinc finger protein-related
Cre05.g248600;CHLRE_05g248600v5;0;0;0;0;1;0;0;0;0;1;NA;0;PCC1;-;-;g5160.t1,Cre05.g248600.t1.1;C;PF00403;-;-;-;-;GO:0030001,GO:0046872;AT5G21930.1;ATHMA8,HMA8,PAA2;P-type ATPase of Arabidopsis 2
Cre05.g248650;CHLRE_05g248650v5;0;0;0;1;5;0;0;0;0;0.177112892037;1;-1;-;-;-;g5159.t1;O;-;PTHR13825,PTHR13825:SF3;KOG0956;-;-;-;-;-;-
Cre06.g248750;CHLRE_06g248750v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g5572.t1;M;-;-;-;-;-;-;AT1G73090.1;-;-
Cre06.g248800;CHLRE_06g248800v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g5573.t1,Cre06.g248800.t1.1;O;-;-;-;-;-;-;AT2G01640.1;-;-
Cre06.g248900;CHLRE_06g248900v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g5575.t1;M;PF00560;PTHR23155;KOG4579;-;-;GO:0005515;AT3G26500.1;PIRL2;plant intracellular ras group-related LRR 2
Cre06.g248950;CHLRE_06g248950v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g5576.t1;SP;PF00443,PF01753;PTHR24006,PTHR24006:SF250;KOG1865;-;-;GO:0004221,GO:0006511,GO:0008270;AT4G31670.1;UBP18;ubiquitin-specific protease 18
Cre06.g249050;CHLRE_06g249050v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g5578.t1;O;PF00249;PTHR10641;-;-;-;-;-;-;-
Cre06.g249150;CHLRE_06g249150v5;0;0;0;0;2;1;0;0;0;0.237530356347;1;1;-;-;-;g5581.t1;O;PF00069,PF02136;PTHR24361:SF40,PTHR24361;KOG0581;-;-;GO:0004672,GO:0005524,GO:0006468,GO:0005622,GO:0006810;AT5G40440.1;ATMKK3,MKK3;mitogen-activated protein kinase kinase 3
Cre06.g249200;CHLRE_06g249200v5;0;0;0;0;1;0;0;0;0;1;NA;0;ARP4;Actin-related protein, putative SWR-C component;"ChromDB ARP3401; similar to the Arabidopsis ARP4 protein which is localized predominantly to the nucleus during interphase; may be involved in chromatin remodeling as part of the SWR-C complex (see PMID: 14690608)";g5582.t1,Cre06.g249200.t1.1,ARP4;O;PF00022;PTHR11937,PTHR11937:SF32;-;-;-;-;AT1G18450.1;ARP4,ATARP4;actin-related protein 4
Cre06.g249350;CHLRE_06g249350v5;0;0;0;0;3;0;0;0;0;1;1;0;DMC3;-;-;g5585.t1,DMC3;C;PF00145;PTHR10629;-;-;-;GO:0003677,GO:0006306;AT4G14140.1;DMT02,DMT2,MET02,MET2;DNA methyltransferase 2
Cre06.g249500;CHLRE_06g249500v5;0;0;0;0;1;0;0;0;0;1;NA;0;DMT1,DMC7,MET1;Cytosine-C5 specific DNA methyltransferase;"Dnmt1 class (cytosine-5-)DNA methyltransferase, ChromDB DMT3403; allelic to the previously published sequence AB108536 at the DMT1 locus [also published as MET1; PMID: 11983892, PMID: 15514055], which was sequenced from strain CC-683, a strain carrying th";g5588.t1,DMT1,MET1;M;PF00145;PTHR10629;-;-;-;GO:0003677,GO:0006306;AT4G14140.1;DMT02,DMT2,MET02,MET2;DNA methyltransferase 2
Cre06.g249700;CHLRE_06g249700v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g5593.t1;C;-;PTHR23081;-;-;-;-;-;-;-
Cre06.g249750;CHLRE_06g249750v5;0;0;0;0;3;0;0;0;0;1;1;0;-;-;-;g5594.t1;C;PF07382;-;-;-;-;GO:0003677,GO:0030261;-;-;-
Cre06.g249850;CHLRE_06g249850v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g5596.t1;O;-;-;-;-;-;-;-;-;-
Cre06.g249900;CHLRE_06g249900v5;0;0;0;0;0;1;0;0;0;0.086434321978;NA;1;FAP75;Flagellar Associated Protein;Flagellar Associated Protein containing P-loop, found in the flagellar proteome [PMID: 15998802];g5597.t1,Cre06.g249900.t1.1;O;-;-;-;-;-;-;-;-;-
